Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 0, -1702260912901427031, 0, -1000073125, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260912901427031, 0, -1000070191, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999894608, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999891256, NO TRIGGER, 0, 0, 835, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999587373, NO TRIGGER, 0, 0, 517, 0
Receiving LTC, NO REACTOR, -1, 0, 1000000, 0, -999537366, NO TRIGGER, 0, 0, 517, 1
