Start time:, 1702002732998221942
End time:, 1702002731998567693
Total time:, -999654249

Total Event Occurrences
Sending TIMESTAMP, 1
Sending NET, 7
Sending LTC, 6
Sending FED_ID, 1
Sending TAGGED_MSG, 5
Receiving ACK, 1
Receiving TIMESTAMP, 1

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
